dt_sismo,fecha_sismo,hora_sismo,latitude,longitude,profundidad,mag,ubicacion,pais
2023-01-04 19:42:55.191000+00:00,2023-01-04,19:42:55.191000,-30.7554,-71.4941,35.0,4.0,"33 km WSW of Ovalle, Chile",Chile
2023-01-05 19:08:18.930000+00:00,2023-01-05,19:08:18.930000,-32.7048,-71.2694,57.962,4.2,"10 km NNW of Hacienda La Calera, Chile",Chile
2023-01-06 13:33:01.275000+00:00,2023-01-06,13:33:01.275000,-34.2206,-71.6465,50.337,4.3,"53 km NNW of Santa Cruz, Chile",Chile
2023-01-07 01:31:49.306000+00:00,2023-01-07,01:31:49.306000,-34.3817,-72.3721,28.476,4.4,"96 km WNW of Santa Cruz, Chile",Chile
2023-01-08 19:28:46.788000+00:00,2023-01-08,19:28:46.788000,-33.0128,-71.3559,54.46,4.3,"3 km NNE of Villa Alemana, Chile",Chile
2023-01-09 08:43:57.078000+00:00,2023-01-09,08:43:57.078000,-28.7761,-72.7934,10.0,4.3,"192 km NW of Coquimbo, Chile",Chile
2023-01-11 20:20:12.801000+00:00,2023-01-11,20:20:12.801000,-25.4853,-71.0059,35.0,4.0,"53 km W of Taltal, Chile",Chile
2023-01-12 06:19:10.052000+00:00,2023-01-12,06:19:10.052000,-30.6176,-71.3759,49.0,5.5,"Near the coast of Coquimbo, Chile",Chile
2023-01-12 14:24:10.003000+00:00,2023-01-12,14:24:10.003000,-30.6411,-71.335,53.415,4.5,"Near the coast of Coquimbo, Chile",Chile
2023-01-13 17:37:27.454000+00:00,2023-01-13,17:37:27.454000,-20.738,-70.4016,39.444,4.2,"63 km SSW of Iquique, Chile",Chile
2023-01-13 21:00:38.060000+00:00,2023-01-13,21:00:38.060000,-32.8486,-70.199,108.633,4.2,"37 km E of Los Andes, Chile",Chile
2023-01-14 11:58:44.722000+00:00,2023-01-14,11:58:44.722000,-30.9772,-71.7885,61.901,4.2,"70 km SW of Ovalle, Chile",Chile
2023-01-16 07:41:00.532000+00:00,2023-01-16,07:41:00.532000,-32.5669,-71.6774,35.0,4.3,"43 km WSW of La Ligua, Chile",Chile
2023-01-17 11:53:26.378000+00:00,2023-01-17,11:53:26.378000,-38.2043,-74.0207,21.638,4.6,"70 km SW of Cañete, Chile",Chile
2023-01-17 18:05:42.233000+00:00,2023-01-17,18:05:42.233000,-24.6041,-70.1141,57.268,4.3,"96 km NNE of Taltal, Chile",Chile
2023-01-18 07:29:00.195000+00:00,2023-01-18,07:29:00.195000,-30.3972,-71.9719,26.495,4.5,"77 km WNW of Ovalle, Chile",Chile
2023-01-23 22:35:21.591000+00:00,2023-01-23,22:35:21.591000,-30.5562,-71.8185,28.52,3.9,"59 km W of Ovalle, Chile",Chile
2023-01-25 04:48:07.614000+00:00,2023-01-25,04:48:07.614000,-26.3582,-71.3099,26.761,4.3,"Off the coast of Atacama, Chile",Chile
2023-02-02 03:38:08.999000+00:00,2023-02-02,03:38:08.999000,-22.9752,-69.9606,43.531,4.4,"87 km NNE of Antofagasta, Chile",Chile
2023-02-02 11:08:33.698000+00:00,2023-02-02,11:08:33.698000,-32.0811,-71.9028,23.456,4.6,"75 km WNW of La Ligua, Chile",Chile
2023-02-02 11:09:32.549000+00:00,2023-02-02,11:09:32.549000,-32.1009,-71.6603,40.86,4.5,"56 km NW of La Ligua, Chile",Chile
2023-02-03 21:00:44.462000+00:00,2023-02-03,21:00:44.462000,-30.5726,-71.1985,16.863,4.5,"Near the coast of Coquimbo, Chile",Chile
2023-02-04 02:46:25.639000+00:00,2023-02-04,02:46:25.639000,-29.9382,-71.6597,28.661,4.2,"30 km W of Coquimbo, Chile",Chile
2023-02-04 10:39:53.249000+00:00,2023-02-04,10:39:53.249000,-29.9461,-71.6682,29.099,4.3,"31 km W of Coquimbo, Chile",Chile
2023-02-04 11:52:20.046000+00:00,2023-02-04,11:52:20.046000,-29.4577,-72.4972,10.0,4.6,"124 km WNW of Coquimbo, Chile",Chile
2023-02-05 01:02:45.785000+00:00,2023-02-05,01:02:45.785000,-29.6487,-71.2511,70.157,5.5,"28 km N of La Serena, Chile",Chile
2023-02-05 07:08:46.577000+00:00,2023-02-05,07:08:46.577000,-32.7313,-71.7525,31.125,4.0,"Near the coast of Valparaiso, Chile",Chile
2023-02-06 08:38:45.283000+00:00,2023-02-06,08:38:45.283000,-31.5961,-69.9343,114.768,4.4,"56 km WSW of Calingasta, Argentina",Chile
2023-02-06 18:13:22.718000+00:00,2023-02-06,18:13:22.718000,-33.9519,-70.4956,105.659,4.0,"25 km ENE of Graneros, Chile",Chile
2023-02-13 07:26:33.014000+00:00,2023-02-13,07:26:33.014000,-26.5677,-71.3857,10.0,4.2,"135 km W of Diego de Almagro, Chile",Chile
2023-02-14 00:11:34.847000+00:00,2023-02-14,00:11:34.847000,-21.9053,-70.2645,64.069,4.6,"Near the coast of Antofagasta, Chile",Chile
2023-02-14 18:02:12.031000+00:00,2023-02-14,18:02:12.031000,-29.04,-70.0094,122.861,4.6,"89 km SE of Vallenar, Chile",Chile
2023-02-18 04:51:54.569000+00:00,2023-02-18,04:51:54.569000,-31.1506,-70.6183,105.626,4.3,"60 km SSE of Monte Patria, Chile",Chile
2023-02-18 22:13:48.796000+00:00,2023-02-18,22:13:48.796000,-19.9435,-71.0087,16.102,4.7,"94 km WNW of Puerto, Chile",Chile
2023-02-19 02:40:40.879000+00:00,2023-02-19,02:40:40.879000,-19.9657,-71.1633,8.527,5.3,"109 km WNW of Puerto, Chile",Chile
2023-02-21 01:13:59.879000+00:00,2023-02-21,01:13:59.879000,-19.0786,-70.1661,64.453,4.1,"9 km N of Cuya, Chile",Chile
2023-02-22 15:51:40.842000+00:00,2023-02-22,15:51:40.842000,-30.1063,-72.15,10.735,4.1,"79 km WSW of Coquimbo, Chile",Chile
